Pixel, Frequency
0,532199
1,101314
2,18382
3,7148
4,15798
5,18574
6,17977
7,15149
8,6452
9,14572
10,16797
11,16673
12,14105
13,5707
14,13893
15,16049
16,16007
17,15636
18,13369
19,5555
20,13096
21,15150
22,15091
23,12925
24,5343
25,13251
26,15592
27,15822
28,13952
29,5777
30,14090
31,16831
32,17121
33,17763
34,15486
35,6303
36,15742
37,18773
38,19331
39,16831
40,7223
41,17396
42,21435
43,22336
44,19426
45,8386
46,20243
47,25281
48,26804
49,23547
50,10246
51,25143
52,31145
53,33380
54,34853
55,30325
56,12652
57,30133
58,34776
59,32082
60,24852
61,9033
62,19604
63,20302
64,16893
65,12889
66,5082
67,11044
68,12708
69,12333
70,12374
71,10379
72,4267
73,10341
74,12010
75,12064
76,10302
77,4359
78,9993
79,11595
80,11869
81,10045
82,4183
83,9952
84,11532
85,11699
86,11600
87,9727
88,4138
89,9859
90,11203
91,11513
92,9751
93,3992
94,9696
95,11192
96,11126
97,9470
98,4011
99,9676
100,10913
101,11278
102,11295
103,9691
104,3878
105,9350
106,11068
107,11050
108,9436
109,3770
110,9353
111,10871
112,10943
113,9673
114,3853
115,9414
116,11019
117,11064
118,10882
119,9402
120,3958
121,9515
122,10959
123,11186
124,9563
125,3888
126,9469
127,11143
128,11012
129,9609
130,3934
131,9506
132,11291
133,11207
134,9607
135,4105
136,9785
137,11363
138,11512
139,11496
140,9986
141,4047
142,9892
143,12052
144,11639
145,10097
146,4268
147,10114
148,12213
149,12088
150,10435
151,4388
152,10441
153,12350
154,12669
155,12421
156,10882
157,4716
158,11196
159,12990
160,13082
161,11353
162,4854
163,11503
164,13576
165,14114
166,12082
167,5004
168,12221
169,14479
170,14739
171,14740
172,12967
173,5407
174,13351
175,15387
176,15726
177,13649
178,5598
179,13832
180,16623
181,16794
182,14548
183,6084
184,15028
185,17420
186,17909
187,18208
188,15956
189,6694
190,16202
191,19582
192,19370
193,16948
194,7017
195,17450
196,20750
197,21080
198,18193
199,7577
200,18874
201,21907
202,22627
203,22631
204,19899
205,8458
206,20654
207,23818
208,24694
209,21650
210,8990
211,22006
212,26254
213,26656
214,23168
215,9577
216,23923
217,28008
218,28850
219,24937
220,10331
221,25980
222,30566
223,31336
224,32114
225,28011
226,11581
227,28996
228,33954
229,34792
230,30460
231,13004
232,31633
233,37460
234,38372
235,33402
236,13695
237,35002
238,41683
239,42950
240,43951
241,38845
242,16233
243,40594
244,49107
245,51655
246,46320
247,19470
248,49248
249,60113
250,64043
251,57680
252,25728
253,71639
254,497684
255,2665671
